stem,storage_day,pred_class,area_um2,circularity,sum_I,npix,I_bg,dry_mass_pg
20110516_3,5,1,62.71,0.8737,183989.0,3020.0,57.0,27.839228928302134
20110516_3,5,1,81.564,0.8735,205444.0,3928.0,57.0,31.085567876047502
20110516_3,5,1,87.358,0.8865,246289.0,4207.0,57.0,37.26579226759537
20110516_3,5,1,71.348,0.8841,193605.0,3436.0,57.0,29.29421822317603
20110516_3,5,4,123.031,0.611,389293.0,5925.0,57.0,58.90361351594674
20110516_3,5,1,74.67,0.8973,224336.0,3596.0,57.0,33.944101336816814
20110516_3,5,1,41.53,0.7609,97873.0,2000.0,57.0,14.80908561326881
20110516_3,5,1,72.739,0.864,219534.0,3503.0,57.0,33.21751454459713
20110516_3,5,1,138.647,0.4542,358292.0,6677.0,57.0,54.212876917528924
20110516_3,5,1,62.855,0.832,159607.0,3027.0,57.0,24.150007943733154
20110516_3,5,1,70.725,0.9058,180847.0,3406.0,57.0,27.36381541285977
20110516_3,5,1,28.095,0.7272,75230.0,1353.0,57.0,11.382991332504497
20110516_3,5,1,77.619,0.8581,175153.0,3738.0,57.0,26.502260811673004
20110516_3,5,1,56.356,0.897,186898.0,2714.0,57.0,28.279387399473954
20110516_3,5,1,65.804,0.8904,182504.0,3169.0,57.0,27.614534762028452
20110516_3,5,1,60.405,0.8492,150799.0,2909.0,57.0,22.8172764847846
20110516_3,5,1,67.922,0.8533,163528.0,3271.0,57.0,24.743291328217403
20110516_3,5,1,81.004,0.8848,184687.0,3901.0,57.0,27.94484275191091
20110516_3,5,4,61.132,0.8926,193456.0,2944.0,57.0,29.271673151947226
20110516_3,5,1,65.887,0.8838,207131.0,3173.0,57.0,31.340826501302523
20110516_3,5,1,60.612,0.8679,147669.0,2919.0,57.0,22.34367867977677
20110516_3,5,1,84.762,0.8553,132633.0,4082.0,57.0,20.068593505304648
20110516_3,5,1,128.015,0.4376,308697.0,6165.0,57.0,46.708697000799425
20110516_3,5,1,125.752,0.5421,313048.0,6056.0,57.0,47.367043342521164
20110516_3,5,1,62.315,0.8881,156643.0,3001.0,57.0,23.701527466403054
20110516_3,5,1,128.41,0.4795,286485.0,6184.0,57.0,43.347816986475486
20110516_3,5,1,71.348,0.8756,163816.0,3436.0,57.0,24.78686837864624
20110516_3,5,1,74.566,0.8953,170538.0,3591.0,57.0,25.80396884039149
20110516_3,5,1,41.28,0.7865,109997.0,1988.0,57.0,16.643558388960482
20110516_3,5,1,34.096,0.7578,75285.0,1642.0,57.0,11.391313338662782
20110516_5,5,1,44.063,0.7426,143841.0,2122.0,67.0,21.764467051160167
20110516_5,5,1,70.704,0.8874,270112.0,3405.0,67.0,40.87043140775561
20110516_5,5,1,71.722,0.8755,200594.0,3454.0,67.0,30.35171824208968
20110516_5,5,1,70.434,0.8671,204890.0,3392.0,67.0,31.001742577653147
20110516_5,5,1,68.005,0.903,200666.0,3275.0,67.0,30.362612504696894
20110516_5,5,1,35.446,0.7394,118328.0,1707.0,67.0,17.904115358136274
20110516_5,5,1,81.543,0.8679,232665.0,3927.0,67.0,35.20435568758685
20110516_5,5,1,153.867,0.4774,435393.0,7410.0,67.0,65.87896776861797
